id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
29504150,HUGELOFT+PRIVATEBALCON. HEARTOFBERLIN.GSUNDBRUNEN,95129226,Consu,Mitte,Brunnenstr. Nord,52.54615,13.37979,Private room,35,7,3,2018-11-21,0.07,3,0,0,
29775871,Large light-filled central apartment,216837175,Amelia,Mitte,Brunnenstr. Süd,52.53477,13.40356,Entire home/apt,142,4,13,2020-01-04,0.31,1,0,0,
43923793,Gold Palais Hotel - EZ mit Balkon Ruhig & Zentral,350110475,Gold Palais Hotel,Pankow,Prenzlauer Berg Süd,52.53017,13.42492,Private room,193,1,2,2022-04-24,0.92,4,203,2,"First name and Last name: Eberhard Gold und Dr. Elfriede Gold-Brand Hotel GbR <br/> Contact address: Winterfeld 11, 82041, Oberhaching, Deutschland / Bayern <br/>Listing address: Greifswalder Str. 6-7, 10405, Berlin, Deutschland / Berlin"
7767933,Cosy room in centre of Kreuzberg,6734609,Simone,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50029,13.42232,Private room,45,1,1,2015-08-18,0.01,3,0,0,
29021563,Kategorki 2A,42671030,Gorki Apartments,Mitte,Brunnenstr. Süd,52.53134,13.40121,Entire home/apt,774,1,8,2021-10-11,0.18,6,226,3,
29921767,Cozy aparment in hip and central Kreuzberg!,147461101,Lilli,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50269,13.42931,Entire home/apt,25,2,18,2021-06-17,0.43,1,0,1,
30283046,23m^2 room Berlin Charlottenburg near the centrum,227441080,Benni,Charlottenburg-Wilm.,Mierendorffplatz,52.52357,13.29878,Private room,17,20,0,,,1,0,0,
30334710,Nice apartment in the centre of Berlin,12757920,Karim,Mitte,Moabit Ost,52.52273,13.35263,Entire home/apt,60,3,0,,,1,0,0,
52968504,"Big,cozy,restored apartment in the heart of Berlin",10377295,Kim,Mitte,Brunnenstr. Süd,52.52875,13.38976,Entire home/apt,200,3,6,2022-02-27,0.85,3,290,6,"First name and Last name: Tong Nguyen GbR  <br/> Contact address: Novalisstrasse 15, 10115, Beim, Deutschland <br/>Listing address: Novalisstrasse 2, 10115, berlin, Deutschland"
7819840,Cosy room in the centre of NeuKölln,41170062,Ilja,Neukölln,Rixdorf,52.47986,13.43984,Private room,20,3,2,2015-08-19,0.02,1,0,0,
